grb_name,episode,model_name,z,z_source,H0,Om0,Y_ratio,e_min_keV,e_max_keV,kt_bb_keV,kt_bb_err_lower_keV,kt_bb_err_upper_keV,f_bb,f_bb_err_lower,f_bb_err_upper,script_R,Gamma,Gamma_err_lower,Gamma_err_upper,r0_cm,r0_err_lower_cm,r0_err_upper_cm,r_ph_cm,r_ph_err_lower_cm,r_ph_err_upper_cm,r_s_cm,r_s_err_lower_cm,r_s_err_upper_cm,saturated_fraction,n_samples,seed
GRB131014A,TR2,SBPL_BB,1.4364924166768323,swept,69.6,0.286,1.0,1.0,10000.0,27.234963191968923,0.9214747666630387,0.9557118880462241,0.12728384221043337,0.01227463746287459,0.013141457202131696,3.1827776529614225e-18,381.78960647230275,3.495256871919082,3.6687269757189256,474982273.3042441,63454332.76569456,72995616.98432153,6262071192344.416,170707271978.28906,160402094911.4121,181468763146.73273,24274147919.93866,27720622821.569214,0.0,10000,12345
GRB131014A,TR2,SBPL_BB,1.5811388300841898,swept,69.6,0.286,1.0,1.0,10000.0,27.234963191968923,0.9214747666630387,0.9557118880462241,0.12728384221043337,0.01227463746287459,0.013141457202131696,3.1827776529614225e-18,404.8179308366503,3.7060795544090297,3.8900128184156415,476688591.4847139,63682285.02352196,73257845.18809962,6663631868479.599,181654021935.4922,170688016566.99316,193105602937.9673,25830748436.274628,29498231491.48117,0.0,10000,12345
GRB131014A,TR2,SBPL_BB,1.7403502942142053,swept,69.6,0.286,1.0,1.0,10000.0,27.234963191968923,0.9214747666630387,0.9557118880462241,0.12728384221043337,0.01227463746287459,0.013141457202131696,3.1827776529614225e-18,429.67411294197564,3.9336361453703717,4.12886307588019,476182776.26371837,63614711.623092175,73180111.14156401,7065279863903.781,192603152261.29102,180976174894.18848,204744973157.6954,27387687435.082703,31276226702.04422,0.0,10000,12345
GRB131014A,TR2,SBPL_BB,1.9155934247786435,swept,69.6,0.286,1.0,1.0,10000.0,27.234963191968923,0.9214747666630387,0.9557118880462241,0.12728384221043337,0.01227463746287459,0.013141457202131696,3.1827776529614225e-18,456.5033477190145,4.179255894135281,4.386672968281118,473488320.58321357,63254751.058282614,72766025.25691152,7463967422851.876,203471579570.5996,191188502046.9961,216298552793.25598,28933150666.413757,33041116800.828735,0.0,10000,12345
GRB131014A,TR2,SBPL_BB,2.0,swept,69.6,0.286,1.0,1.0,10000.0,27.234963191968923,0.9214747666630387,0.9557118880462241,0.12728384221043337,0.01227463746287459,0.013141457202131696,3.1827776529614225e-18,469.24524608214176,4.295907073371211,4.509113562404707,471580414.1472732,62999868.00963783,72472816.82521367,7641386005150.016,208308101106.7002,195733054704.21094,221439971614.59592,29620891954.90555,33826504486.525543,0.0,10000,12345
GRB131014A,TR2,SBPL_BB,2.108482517142911,swept,69.6,0.286,1.0,1.0,10000.0,27.234963191968923,0.9214747666630387,0.9557118880462241,0.12728384221043337,0.01227463746287459,0.013141457202131696,3.1827776529614225e-18,485.46182515892735,4.444368709037178,4.6649433705092065,468670775.3706565,62611160.47772294,72025661.44776547,7856687064121.97,214177318383.57715,201247961806.82617,227679187949.85364,30455479999.703583,34779588420.82236,0.0,10000,12345
GRB131014A,TR2,SBPL_BB,2.320794416806389,swept,69.6,0.286,1.0,1.0,10000.0,27.234963191968923,0.9214747666630387,0.9557118880462241,0.12728384221043337,0.01227463746287459,0.013141457202131696,3.1827776529614225e-18,516.7175743371538,4.730512884389668,4.9652889226472325,461834340.8862323,61697860.31246054,70975033.28496695,8240545341589.549,224641491875.0713,211080438947.96094,238803029358.88086,31943459347.324585,36478832999.77643,0.0,10000,12345
GRB131014A,TR2,SBPL_BB,2.5544848872534636,swept,69.6,0.286,1.0,1.0,10000.0,27.234963191968923,0.9214747666630387,0.9557118880462241,0.12728384221043337,0.01227463746287459,0.013141457202131696,3.1827776529614225e-18,550.451347164679,5.0393431911669495,5.289446522191724,453116962.12235737,60533279.05539703,69635340.25404942,8612827647913.07,234790098456.8623,220616399175.58398,249591410326.59225,33386565868.17038,38126833650.00137,0.0,10000,12345
GRB131014A,TR2,SBPL_BB,2.8117066259517456,swept,69.6,0.286,1.0,1.0,10000.0,27.234963191968923,0.9214747666630387,0.9557118880462241,0.12728384221043337,0.01227463746287459,0.013141457202131696,3.1827776529614225e-18,586.8575456100934,5.372639365655573,5.639284233998978,442684336.8530334,59139552.77829987,68032046.90795714,8971051432609.496,244555462529.7002,229792252299.49023,259972388942.4333,34775176260.97333,39712600741.474976,0.0,10000,12345
GRB131014A,TR2,SBPL_BB,3.0948290944563026,swept,69.6,0.286,1.0,1.0,10000.0,27.234963191968923,0.9214747666630387,0.9557118880462241,0.12728384221043337,0.01227463746287459,0.013141457202131696,3.1827776529614225e-18,626.1451988398361,5.732315055105801,6.016810679908417,430723284.93649733,57541639.31668842,66193863.856713414,9313006431788.266,253877331166.46875,238551382713.20703,269881913897.799,36100722709.91431,41226349988.81238,0.0,10000,12345
