grb_name,episode,model_name,t_start_s,t_stop_s,e_min_keV,e_max_keV,frame,kt_bb_keV,kt_bb_err_keV,f_bb,f_bb_err_lower,f_bb_err_upper,flux_bb_erg_cm2_s,flux_bb_err_lower_erg_cm2_s,flux_bb_err_upper_erg_cm2_s,flux_total_erg_cm2_s,flux_total_err_lower_erg_cm2_s,flux_total_err_upper_erg_cm2_s,bb_fraction_captured_in_band,z,z_source,H0,Om0,e_min_keV_rest,e_max_keV_rest,f_bb_rest,f_bb_rest_err_lower,f_bb_rest_err_upper,bb_fraction_captured_in_band_rest,n_samples,seed
GRB140206B,TR1,BAND_BB,7.488,11.072,1.0,10000.0,observer,55.84280014038086,3.7928547859191895,0.06375868773788283,0.00891609541255918,0.009401341991889287,5.883343595768972e-07,8.26976741527113e-08,8.398379048114293e-08,9.250291345085035e-06,4.364566928310648e-07,3.805656155778465e-07,0.999999705769351,3.7494710466622787,swept,69.6,0.286,1.0,10000.0,0.10131695930615742,0.015016722502495944,0.016069003845074106,0.9999999958071941,10000,668559939
GRB140206B,TR1,BAND_BB,7.488,11.072,1.0,10000.0,observer,55.84280014038086,3.7928547859191895,0.06375868773788283,0.00891609541255918,0.009401341991889287,5.883343595768972e-07,8.26976741527113e-08,8.398379048114293e-08,9.250291345085035e-06,4.364566928310648e-07,3.805656155778465e-07,0.999999705769351,4.1270209263400925,swept,69.6,0.286,1.0,10000.0,0.10549235923613373,0.015640077618878243,0.016704059363577217,0.9999999963658374,10000,668559939
GRB140206B,TR1,BAND_BB,7.488,11.072,1.0,10000.0,observer,55.84280014038086,3.7928547859191895,0.06375868773788283,0.00891609541255918,0.009401341991889287,5.883343595768972e-07,8.26976741527113e-08,8.398379048114293e-08,9.250291345085035e-06,4.364566928310648e-07,3.805656155778465e-07,0.999999705769351,4.542587878258432,swept,69.6,0.286,1.0,10000.0,0.1100961194299496,0.016342711446839617,0.017401388029361448,0.9999999967728287,10000,668559939
GRB140206B,TR1,BAND_BB,7.488,11.072,1.0,10000.0,observer,55.84280014038086,3.7928547859191895,0.06375868773788283,0.00891609541255918,0.009401341991889287,5.883343595768972e-07,8.26976741527113e-08,8.398379048114293e-08,9.250291345085035e-06,4.364566928310648e-07,3.805656155778465e-07,0.999999705769351,5.000000000000001,swept,69.6,0.286,1.0,10000.0,0.11514686472233676,0.017042649763466852,0.01818463291098843,0.9999999966966909,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,0.5,swept,69.6,0.286,1.0,10000.0,0.22769208405046365,0.014489632186452273,0.014980058090182213,0.9999994339447522,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,0.5503470856261048,swept,69.6,0.286,1.0,10000.0,0.22769347868339873,0.014485807267615974,0.01497840745063403,0.9999994870452036,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,0.6057638293142942,swept,69.6,0.286,1.0,10000.0,0.2276954368254302,0.014481494725835736,0.014976555618810311,0.9999995380680649,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,0.666760716081662,swept,69.6,0.286,1.0,10000.0,0.22769808640099318,0.014476622977452142,0.014974471906078701,0.9999995866785107,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,0.7338996338110347,swept,69.6,0.286,1.0,10000.0,0.22770356418842533,0.01447162983548067,0.014969993257897607,0.9999996325881496,10000,668559939
GRB231129C,T90,SBPL_BB,0.384,7.296,1.0,10000.0,observer,29.893070220947266,0.6548749804496765,0.22769072010781727,0.014520414554472033,0.014989571594641288,2.6037658747709813e-06,1.5554701485911093e-07,1.6039676914793437e-07,1.1421461899118102e-05,9.310916248090971e-08,1.1648397165135267e-07,0.9999981009710236,0.807799049219937,swept,69.6,0.286,1.0,10000.0,0.22771581540305608,0.014470149060773319,0.01496049659297119,0.9999996755629259,10000,668559939
