t,y_data,sigma,y_total_fit,y_pulse1,y_pulse2,y_pulse3,y_pulse4,y_pulse5,y_pulse6
3.584,14286.193800000001,518.3056139706858,14808.775037498628,1339.7276286771087,1342.0675506348741,681.3455793144954,8956.458396789281,2489.175882082869,0.0
3.648,15209.551199999998,532.5384934614111,15190.90065959316,1250.7753311824179,989.6134117186929,607.1082737179421,8401.351094413754,3942.052548560355,0.0
3.712,15639.958600000005,538.9430657297837,15626.083903525365,1167.578166074244,719.3963261686272,540.6997435364084,7745.06024020201,5453.349427544075,0.0
3.776,16142.263899999994,546.4433652342361,16023.43273897664,1089.7807537507945,515.6889443089018,481.33652913450413,7041.93557777188,6894.6909340105585,0.0
3.84,16627.9757,553.5866620702129,16326.594035241444,1017.0476387489934,364.60911218583925,428.30649732595117,6331.292395680551,8185.338391300108,0.0
3.904,16241.456099999992,547.9371052744306,16507.84049828452,949.0624325971363,254.32445344028426,380.96360211949917,5640.210752871051,9283.27925725655,0.0
3.968,16029.145400000007,544.7728112290482,16559.405737541856,885.5269556987057,175.05244636621717,338.7227862065532,4986.26077169506,10173.842777575323,0.0
4.032,16594.9893,553.0985231070918,16485.9941881951,826.1603855667483,118.9225135378205,301.0550781289963,4379.876928710483,10859.979282251054,0.0
4.096,16191.186199999991,547.175340847591,16299.306728542146,770.6984173091829,79.75722658552773,267.48292294438374,3826.303606354556,11355.064555348496,0.0
4.16,17190.556599999996,561.7025691418308,16014.370728393882,718.8924410649465,52.81754878314947,237.57577065961794,3327.12744042815,11677.957527458018,0.0
4.224,15818.596699999996,541.6363056256358,15647.223525775542,670.5087400773862,34.54449321704117,210.94593609246326,2881.449852911397,11849.774503477254,0.0
4.288,14995.618699999986,529.2436881874838,15213.531815515693,625.3277122373001,22.31824215057244,187.24473560600802,2486.763345574246,11891.877779947567,0.0
4.352,14688.175000000005,524.5205033692816,14727.828333454698,583.1431172105226,14.246494146675754,166.15889989630085,2139.592457491886,11824.687364709313,0.0
4.416,13966.698599999994,513.3843549746321,14203.141952708425,543.7613506637967,8.986846193989354,147.40725732531862,1835.9524373677903,11667.03406115753,0.0
4.48,13597.266,507.57612762687677,13650.870540927712,507.0007466010696,5.603256726437223,130.73767887134704,1571.6694698218294,11435.859388907027,2.172596563304628e-12
4.544,13244.664500000006,501.9797705459053,13086.1186392718,472.6909084054764,3.4537309539027286,115.9242733617985,1342.597496287195,11146.131420537815,5.32080972561272
4.608,11873.239599999999,479.4394520776937,12658.925417426202,440.6720688378428,2.104894847734455,102.7648200495996,1144.758998996707,10810.8900067222,157.7346279721196
4.672,12854.350800000006,495.6246645951526,12496.159722132546,410.7944789596558,1.2686555141086946,91.07842462162826,974.4307564026516,10441.365081365288,577.2223252692146
4.736,11701.609900000001,476.64392371683044,12472.600777723064,382.917825718021,0.7563177324018016,80.70338424572306,828.1904707381688,10047.131993008501,1132.9007862802475
4.8,13318.441300000008,503.06359307898913,12467.98923840607,356.91067774427296,0.44605293293476556,71.49524715747326,702.9361548160358,9636.281237525036,1699.919868230317
4.864,12630.405199999992,492.00249662522657,12425.026336082305,332.6499587697901,0.260293187063133,63.325052466823834,595.8870611366807,9215.588790126434,2217.315180395514
4.928,12098.451499999996,483.21426390927024,12325.202454015054,310.0204479464976,0.15031583296350048,56.07773625320318,504.57256561765223,8790.678978557178,2663.7024098075603
4.992,12643.294999999995,492.1649715815464,12168.080827141055,288.91430627045196,0.08591756458207943,49.65069055686673,426.8136263916657,8366.175537551051,3036.440748806437
5.056,11119.2831,466.67370997547664,11960.450038583458,269.2306282406136,0.04861416666327641,43.952462516150824,360.70009644077123,7945.838830515515,3340.6794067037436
5.12,11858.36210000001,479.22279499178035,11711.288545336163,250.87501783769852,0.02723418328951116,38.9015816080919,304.56617324164137,7532.688680747824,3584.229857717617
5.184,11167.354900000008,467.4996226022184,11429.576643053984,233.7591878768059,0.015107830436533213,34.4255036942594,256.9655366010471,7129.113129119975,3775.2981779314587
5.248,11553.037700000003,474.0848985564826,11123.432003746599,217.80058176959642,0.008300234769839888,30.459661332235818,216.64719303814462,6736.9639324312175,3921.552334940635
5.312,10702.401699999995,459.4630891477981,10799.844123619676,202.9220167249227,0.0045169177966075565,26.946610568865665,182.53266165358218,6357.639871839604,4029.7984459149043
5.376,11200.989000000007,468.10768963066744,10464.66986158873,189.05134741897328,0.002435113936388309,23.835265171460154,153.69486429620915,5992.15904332006,4105.926906268092
5.44,10369.028899999994,453.67431352063653,10122.733697818026,176.12114917557992,0.001300715166440479,21.080209968323725,129.33889300657472,5641.221310744821,4154.970834207561
5.504,9790.872899999998,443.32642728236107,9777.961213653583,164.06841971286346,0.0006884783338163862,18.64108565376834,108.78469827101316,5305.262055386314,4181.20426615129
5.568,10001.485000000008,447.1578902335983,9433.514139597333,152.83429853271414,0.0003611616927645066,16.48203806091315,91.45165609377435,4984.4982783204305,4188.247507427807
5.632,9041.221099999993,429.63370018761543,9091.914029666515,142.36380305364457,0.0001877904265972885,14.57122551543568,76.84491798059668,4678.96802029989,4179.165875026522
5.696,9091.66,430.6208319363126,8755.150314989303,132.6055806144729,9.679691441172842e-05,12.880378453806877,64.54341648021844,4388.563967170099,4156.5568754737915
5.76,8054.002599999995,410.93808343947205,8424.772401753746,123.51167550534878,4.946758674045253e-05,11.38440602016562,54.18938319683261,4113.062013895603,4122.624873668209
5.824,7560.079499999995,401.2532755915813,8101.967107216288,115.0373102132153,2.5067145028836138e-05,10.061044847408127,45.47923121289997,3852.145470272071,4079.244025603549
5.888,7543.644800000007,400.916727822815,7787.623278273284,107.14068010037343,1.2596988325551474e-05,8.890545681382905,38.15565604410097,3605.425508275827,4028.0108755746114
5.952,7448.854099999999,399.04751441475787,7482.385495766692,99.78276076697387,6.278530992415126e-06,7.855393923792793,32.00081598938207,3372.4583755511076,3970.2881432569043
6.016,6892.323299999999,387.80490484157394,7186.698618275281,92.92712738062444,3.104056357055112e-06,6.94006055129306,26.830462189518148,3152.7598318960463,3907.2411331537423
6.08,6796.799100000001,385.8426647177924,6900.844697552924,86.53978528858728,1.5224085416322864e-06,6.130780217285532,22.488899569837436,2945.817205527757,3839.868025427048
6.144,6559.022700000004,380.93001894528675,6624.973566869175,80.58901126000342,7.408184136367245e-07,5.415353661092777,18.84467122427322,2751.099412908308,3769.0251170746787
6.208,6524.886000000002,380.1692705050085,6359.128190214924,75.04520473702757,3.577002444762621e-07,4.782971838633472,15.786870101265206,2568.0652394079398,3695.4479037723577
6.272,5606.134500000004,360.5223864025732,6103.265674193313,69.88074850452738,1.7139600465958945e-07,4.224059451479874,13.221992692746674,2396.170137440735,3619.7687359324286
6.336,5351.565000000006,354.8662390891789,5857.274686826056,65.06987821797784,8.150839559510758e-08,3.7301357892874876,11.071259573047307,2234.8717633045667,3542.531649859668
6.4,6128.969599999997,371.8392399991682,5620.989896347293,60.588560258263975,3.8474194980421896e-08,3.293691015998608,9.268336959558123,2083.634443194328,3464.204864880671
6.464,5556.829199999997,359.4072889584988,5394.203934940837,56.41437741022777,1.802796912383447e-08,2.90807622480539,7.757401919922927,1941.9327321802853,3385.1913471875673
6.528,4844.737699999999,343.3758255662209,5176.677303706674,52.5264218889055,8.386443855890642e-09,2.5674057623818545,6.4915014296361475,1809.2542068465737,3305.837767770791
6.592,4463.0025,334.42398155509915,4968.146562584354,48.905195263464364,3.873517914610366e-09,2.266470481023161,5.431162219916496,1685.1016123141064,3226.4421223019704
6.656,4972.699799999996,346.3502335189517,4768.331089609454,45.53251485384779,1.7765282424685335e-09,2.000660719619654,4.543214299149928,1568.9944671230946,3147.2602326119645
6.72,5017.7321999999995,347.3259025826956,4576.938645290573,42.391426199061975,8.091310396289464e-10,1.7658979422885754,3.799796243684601,1460.4702145655128,3068.511310339216
6.784,4780.5208,341.8842844632822,4393.669938051197,39.4661212188952,3.6600451234088976e-10,1.558574078328751,3.177514901893625,1359.08499622345,2990.382731628264
6.848,4494.988100000002,335.1981015808474,4218.222353938366,36.741861712652295,1.6444276024280198e-10,1.3754977101863164,2.6567361065676094,1264.4141124104463,2913.034145998349
6.912,4574.7145,337.09209718134105,4050.2929868260458,34.20490785924119,7.339103545979894e-11,1.2138463484593225,2.2209864103036856,1176.0522246901464,2836.6010215178217
6.976,4289.351499999996,330.31603159746976,3889.581083059922,31.842451402674794,3.253941311014149e-11,1.0711241156650415,1.8564488084368287,1093.6133474516805,2761.1977112814325
