t,y_data,sigma,y_total_fit,y_pulse1,y_pulse2,y_pulse3,y_pulse4,y_pulse5,y_pulse6,y_pulse7
11.584,326.7909000000018,216.06030952268787,289.47441066618705,0.11278139397190648,7.763758220757065e-69,0.003128278718394194,0.00038457932802559894,5.2139048645939745,284.1442115495748,1.7979050275138704e-37
11.648,232.38400000000183,212.59869887315102,279.82862619239944,0.10466243910417224,1.4088901356753357e-69,0.0028076035816835703,0.0003318345667966897,4.83360353502092,274.88722078012586,9.35397483077291e-38
11.712,421.03840000000037,219.4666141366823,270.50902153798984,0.0971275165518054,2.5483612674744257e-70,0.002519763528162163,0.000286319034148981,4.4809501357309,265.9281378031448,4.866485399481982e-38
11.776,483.4412000000016,221.6799973649196,261.50417608282044,0.09013465235573442,4.594520035541571e-71,0.00226140078357941,0.00024704261483944726,4.1539432397003155,257.25758974736596,2.531772156233352e-38
11.84,389.2676000000006,218.3228805789738,252.80309830745261,0.0836448858579802,8.257163438495792e-72,0.0020295004347947875,0.00021315068625067248,3.850725483026305,248.8664852874473,1.3171158174012378e-38
11.904,750.4952000000008,230.9547117209795,244.3952076732215,0.07762205367262091,1.4792760586709995e-72,0.0018213554809584144,0.0001839055946775566,3.5695732749096654,240.7460070835636,6.851941442342657e-39
11.968,122.26480000000174,208.50791070590464,236.27031738743528,0.07203258911786847,2.6418672161194886e-73,0.001634535439897309,0.0001586706612532021,3.30888723472821,232.88760435748804,3.564460673223718e-39
12.032,264.3400999999976,213.82070119931564,228.41861800463752,0.06684533600509801,4.703614321465135e-74,0.0014668581489173033,0.00013689637250571964,3.0671833056244995,225.2829856084865,1.8542346435822256e-39
12.096,404.8289999999988,218.89389602513876,220.83066181777005,0.06203137575930967,8.348850776719178e-75,0.0013163644357397114,0.00011810845752129882,2.8430844974668856,217.9241114716506,9.645536760725396e-40
12.16,561.895199999999,224.461124233901,213.49734799581714,0.05756386691855746,1.4774440808005366e-75,0.001181295368119324,0.00010189759428549744,2.6353132152532304,210.80318772068296,5.017404553832634e-40
12.224,388.8921000000005,218.3204711657525,206.40990842708567,0.05341789612774615,2.606751425784174e-76,0.0010600718202054553,8.791052285084358e-05,2.4426841320264128,203.91265841658844,2.6098948344614725e-40
12.288,656.4419000000016,227.76432824270307,199.55989422969688,0.04957033980524749,4.585714702170133e-77,0.0009512761202441656,7.584237328362345e-05,2.2640975681728324,197.24519920322527,1.3575574607729586e-40
12.352,420.01910000000044,219.43468843201558,192.93916289314038,0.04599973571935974,8.043548786682141e-78,0.0008536355680761848,6.543004252392995e-05,2.0985333415917102,190.7937107502187,7.061304031466296e-41
