t,y_data,sigma,y_total_fit,y_pulse1,y_pulse2,y_pulse3,y_pulse4,y_pulse5
4.992,8038.679199999994,417.76115593444626,5264.084963831091,23.522696313291902,5.6272559023937865e-65,5.320163530355261e-08,0.0010504424643021594,5240.561217022133
5.056,8214.402399999999,421.10608853774454,4457.73223760552,21.16224775124802,1.8272822052653376e-66,2.2601960224603495e-08,0.0006199586941057606,4436.569369872976
5.12,8023.8405999999895,417.49273498507483,3761.0649741302623,19.03735629484145,5.8871650247419524e-68,9.550195970171535e-09,0.00036580619361239525,3742.0272520196772
5.184,7940.490800000001,415.82763773413956,3162.045202462399,17.124687958255542,1.8824020314335507e-69,4.014145539302229e-09,0.00021579636953041924,3144.92029870376
5.248,8197.694399999993,420.7633877367329,2649.343573766228,15.40319690373946,5.974933585230656e-71,1.6786319499030044e-09,0.00012727653394498857,2633.940249584276
5.312,7846.988699999999,414.06543791139575,2212.443513159823,13.853904260434863,1.8830961496952162e-72,6.984956329824779e-10,7.505324370252984e-05,2198.5895338454457
5.376,7448.5668999999925,406.3248109662637,1841.699745190711,12.45969787444904,5.894273928642049e-74,2.8925414082829456e-10,4.424995320757315e-05,1829.2400030660194
5.44,6924.823800000001,395.9613636749395,1528.360037606256,11.205151074203522,1.8327447323848717e-75,1.1922371452141866e-10,2.6084543898071373e-05,1517.1548604473892
5.504,6414.922100000002,385.5648742451616,1264.5581990497692,10.076358700774746,5.6621177586278774e-77,4.891816378138675e-11,1.5373941503612655e-05,1254.481824975004
5.568,5573.8111999999965,367.8417416448114,1043.2854255768125,9.060788805822169,1.7383957675591605e-78,1.9982839921613176e-11,9.059888506265153e-06,1034.224627711082
5.632,5493.339499999995,366.0770915057035,858.3460989469708,8.147148560502016,5.3051201177227515e-80,8.12787346359254e-12,5.338262407417647e-06,850.1989450481982
5.696,5412.846099999995,364.29799399542566,704.303156792305,7.325263048235272,1.609530176342777e-81,3.2921565446518965e-12,3.1449946609785345e-06,696.9778905990718
5.76,3939.6652000000017,330.7200246655935,576.4172236308264,6.5859657330719115,4.855541026529484e-83,1.3280583241634425e-12,1.8526187960740068e-06,569.8312560451343
5.824,4162.375999999999,336.0301929248152,470.582840118442,5.9209995043882735,1.456749582430748e-84,5.336229284559978e-13,1.091192491511679e-06,464.6618395228607
5.888,3798.3998000000033,327.34408745770185,383.2643718203156,5.322927298470003,4.3472254943678035e-86,2.1358872634278547e-13,6.42641243859814e-07,377.94144387920414
5.952,3750.1725000000006,326.15547994777967,311.4335247930794,4.7850513888364965,1.2905886646549783e-87,8.51712286392598e-14,3.784341477693152e-07,306.6484730258087
