t,y_data,sigma,y_total_fit,y_pulse1,y_pulse2,y_pulse3,y_pulse4,y_pulse5,y_pulse6,y_pulse7
4.416,17301.712000000007,568.7616049322767,14804.502595743324,942.5221753787745,5.969196375503635e-06,38.49522195719371,6.39418940646326e-35,11242.923852564381,2580.5613398737796,0.0
4.48,13425.080599999994,510.7645980870775,13174.123156623366,896.9535757473903,3.4585834211015573e-06,31.16667050692878,1.9181867921521278e-36,10429.191415563568,1816.8114913468955,0.0
4.544,11254.500799999996,475.3790382332041,11815.969777684539,853.5593012297184,2.002478457574975e-06,25.22989934643325,5.632816285737019e-38,9673.576369705828,1263.6042054000804,0.0
4.608,9605.909300000003,446.76459144749344,10673.790145116456,812.2381145774898,1.158614890107662e-06,20.4214014324486,1.6208108002583368e-39,8972.049013990754,869.0816139571483,0.0
4.672,9043.662799999998,436.53951506007286,9702.597672696922,772.8932586103596,6.699240742123413e-07,16.5273649138521,4.5743153666169033e-41,8320.83850311938,591.633997635324,0.7045477480821517
4.736,9471.799500000001,444.24494195973347,9335.812605428511,735.4322814219553,3.871150449074615e-07,13.374348585263965,1.2673492736037595e-42,7716.420081774245,398.9714358963226,471.6144573636079
4.8,8695.520500000011,430.17765805792345,9258.436424197957,699.7668657959258,2.235602108780648e-07,10.82169518077327,3.449917419658252e-44,7155.502112751348,266.71247894814024,1125.633271298209
4.864,8455.224900000005,425.67905040412876,9043.48785164965,665.8126630745352,1.2903284659475444e-07,8.755361582142465,9.234365745297368e-46,6635.013141885091,176.86531543266068,1557.0413695461893
4.928,9285.910199999997,440.9853450602233,8731.960806064813,633.4891316611363,7.443342767003114e-08,7.082903522809845,2.432287945384285e-47,6152.089175682318,116.41176687414315,1822.8878282499743
4.992,8038.679199999994,417.76115593444626,8372.944830496634,602.7193802854437,4.291486947686061e-08,5.729400408015304,6.308661001217988e-49,5704.0612969285485,76.09190692774995,1984.3428459039612
5.056,8214.402399999999,421.10608853774454,7994.99184130022,573.4300161157564,2.4730284616162175e-08,4.634145262177676,1.6123561069769578e-50,5288.443705190044,49.417213018402016,2079.066761689109
5.12,8023.8405999999895,417.49273498507483,7613.825809126531,545.5509977641527,1.424429496017867e-08,3.7479570753569753,4.0630987013499746e-52,4902.922240106393,31.901258535699956,2129.7033556306837
5.184,7940.490800000001,415.82763773413956,7238.183972487992,519.0154931982715,8.200716984491989e-09,3.0309992134595394,1.010141858062548e-53,4545.343423415086,20.478667069541245,2150.3153895834334
5.248,8197.694399999993,420.7633877367329,6872.973721076175,493.75974254593353,4.719214927099259e-09,2.451009128254133,2.479007566339503e-55,4213.704039095152,13.077332058338548,2149.9815982437776
5.312,7846.988699999999,414.06543791139575,6520.931991889782,469.72292575582145,2.7145783221690097e-09,1.981862218690006,6.008590649340907e-57,3906.141258597154,8.31009361387224,2134.7758517015286
5.376,7448.5668999999925,406.3248109662637,6183.5182089589525,446.8470350581468,1.5608346865271538e-09,1.6024070686141794,1.4390743179460312e-58,3620.9233088818155,5.2564859388670016,2108.8889720099482
5.44,6924.823800000001,395.9613636749395,5861.412737561263,425.0767521532633,8.970986522092069e-10,1.2955210060007802,3.407334741977171e-60,3356.440674187469,3.310629055524467,2075.289161158109
5.504,6414.922100000002,385.5648742451616,5554.806648279358,404.35933004301415,5.154170395457043e-10,1.047344478916215,7.979245101334388e-62,3111.1978175263384,2.076652011796114,2036.1255042187772
5.568,5573.8111999999965,367.8417416448114,5263.5772163421425,384.64447940889414,2.96018458347355e-10,0.846660520785303,1.8488798608837028e-63,2883.8054044395876,1.2976543292838745,1992.9830176432952
5.632,5493.339499999995,366.0770915057035,4987.3984668071,365.8842594325566,1.6995194567191532e-10,0.6843919077376145,4.240631697711808e-65,2672.9730091876954,0.8079645145591376,1947.048841764381
5.696,5412.846099999995,364.29799399542566,4725.813317080396,348.0329729474368,9.754082085143108e-11,0.5531937606052058,9.63149527891643e-67,2477.5022820569416,0.5013628618772433,1899.2235054534372
5.76,3939.6652000000017,330.7200246655935,4478.282090670444,331.0470658051449,5.5963505082295696e-11,0.4471235317174399,2.166986783660904e-68,2296.2805556242724,0.3101135136457983,1850.197232195607
5.824,4162.375999999999,336.0301929248152,4244.215915801318,314.8850303364811,3.209864577944181e-11,0.3613737203491315,4.8313505964585195e-70,2128.274867484206,0.1912378927568739,1800.5034063674932
5.888,3798.3998000000033,327.34408745770185,4023.000100207377,299.50731278434614,1.8405034772321358e-11,0.2920554261806574,1.0677600984936846e-71,1972.5263769810445,0.11759329457540525,1750.556761721212
5.952,3750.1725000000006,326.15547994777967,3814.010645424888,284.8762245842184,1.0550166318614091e-11,0.2360230962824191,2.339957291884263e-73,1828.1451538115848,0.0721127692184016,1700.6811311635734
6.016,3276.610600000002,314.48166499774135,3616.625941633657,270.95585736713906,6.045874010118888e-12,0.1907326448655726,5.086290085486406e-75,1694.3053168933498,0.044108665006962304,1651.1299260632898
6.08,2707.5032999999994,299.83349789751435,3430.235007421365,257.7120015601578,3.4636993899651654e-12,0.1541266053325965,1.0969253192468209e-76,1570.2405025726607,0.026913782874491993,1602.101462900336
6.144,2833.403100000004,303.1160917049163,3254.243215526458,245.11206845981604,1.983839851816386e-12,0.12454117534509544,2.347760669825984e-78,1455.2396420300738,0.016383920253003347,1553.7505799409676
