grb_dir,grb_name,pulse_index,n_pulses,y_max_cts_per_s,detectors,normalized_A_norm,normalized_A_cts_per_s,normalized_t_s,normalized_tau1,normalized_tau2,normalized_t_peak_s,normalized_t_v_s,unnorm_xscale_A_cts_per_s,unnorm_xscale_t_s,unnorm_xscale_tau1,unnorm_xscale_tau2,unnorm_xscale_t_peak_s,unnorm_xscale_t_v_s,sse_normalized_rescaled,sse_unnorm_xscale,sse_ratio_unnorm_over_norm
GRB131014215,GRB131014A,5,5,130030.37509999998,n9+na+nb,0.2824141396809094,36722.41651625244,2.5346418339014165,9.90175525107596,0.1129788233705259,3.5923226258086385,0.29044989584238046,36724.6214149868,2.5350054570643,9.89088945466106,0.11302631989717016,3.5923279412525764,0.29046373471731074,2892808665.698239,2890342144.8088417,0.9991473612068976
GRB140206275,GRB140206B,1,7,13038.177399999997,n0+n1+n3,0.1442561837019751,1880.8377141533397,-0.291605705719986,0.08812622520493892,1.789941655057772,0.10556025631266641,0.9367981750447347,1881.7896666865195,-0.291655350434996,0.08848518340056236,1.7862486311131753,0.10590789953040608,0.9356707308627745,361159994.7902957,360063840.01846445,0.996964905339342
GRB140206275,GRB140206B,2,7,13038.177399999997,n0+n1+n3,0.3697629303202743,4821.034681459574,4.4169484264167185,4.908092812174235,15.125606631950086,13.033089162851399,10.854213340828753,4826.33284453738,4.4009550652306775,4.963318308228841,15.024025330749753,13.036290610963924,10.818470617725847,361159994.7902957,360063840.01846445,0.996964905339342
GRB140206275,GRB140206B,3,7,13038.177399999997,n0+n1+n3,0.5641662867065904,7355.700129179786,10.98106028843619,5.903695839564724,1.5413723724432467,13.997646713920002,1.8730411556042588,7350.869726192623,10.985851703915694,5.879303066522245,1.5423713468769369,13.997175098938158,1.87219532317264,361159994.7902957,360063840.01846445,0.996964905339342
GRB140206275,GRB140206B,4,7,13038.177399999997,n0+n1+n3,0.20444555399037379,2665.5974015677707,20.420443842469645,166.63712118548426,0.4879798705557013,29.437957958115227,1.7546232476414032,2699.319554194279,19.566986918107215,218.91775193390313,0.4476104640923352,29.465970529629416,1.7593530857203779,361159994.7902957,360063840.01846445,0.996964905339342
GRB140206275,GRB140206B,5,7,13038.177399999997,n0+n1+n3,0.05996842845503038,781.8790085958938,23.11760344443419,0.6302607812968545,1.1255021259551994,23.959838476510033,0.8995633100561213,787.2380637314817,23.102984433984265,0.6828101151503725,1.0947332295077234,23.967562320874226,0.8944272229863959,361159994.7902957,360063840.01846445,0.996964905339342
GRB140206275,GRB140206B,6,7,13038.177399999997,n0+n1+n3,0.1277538755962382,1665.6776935612838,28.521879214926507,1.4292952730357007,6.108468497596438,31.476672803166146,4.122211602843217,1648.530489153732,28.499696997776173,1.517576059030581,6.164504456711228,31.558308509441602,4.199238726505025,361159994.7902957,360063840.01846445,0.996964905339342
GRB140206275,GRB140206B,7,7,13038.177399999997,n0+n1+n3,0.0695522914587301,906.8351146154275,2.1185955687170956,1930.4030742646767,7.404391548709907,121.67385563153907,24.9034662729211,909.8362572835538,-19.96791813003703,3247.251282843581,6.212662403525964,122.06755617030727,24.825025551883883,361159994.7902957,360063840.01846445,0.996964905339342
GRB231129779,GRB231129C,1,5,30601.616099999977,n3+n6+n7,0.49822486545788025,15246.486064216191,0.2612641049738553,2.1902131433792515,0.5532145931126478,1.3620174256340867,0.6773877352284049,15216.297242107225,0.26399051462877526,2.1686955002581554,0.5564550119994803,1.3625265771316732,0.6788985390358714,57086607.53420375,57086443.60643175,0.9999971284373151
GRB231129779,GRB231129C,2,5,30601.616099999977,n3+n6+n7,0.5766721230960316,17647.09892655669,-0.3373095875413021,1.168517863593792,0.8220105219077624,0.6427587666622587,0.7997364677837162,17656.702726665506,-0.33702832472704847,1.1660156558179198,0.8249412849069441,0.6437338550760106,0.8015895938846597,57086607.53420375,57086443.60643175,0.9999971284373151
GRB231129779,GRB231129C,3,5,30601.616099999977,n3+n6+n7,0.6410494485119071,19617.149124478085,-0.9599999999999999,97.0160284145341,0.12070870639538762,2.4620869786632515,0.5367237396539966,19569.706676059337,-0.9599999999999997,97.26552242993358,0.12039986824149329,2.462098199205279,0.5360333925129332,57086607.53420375,57086443.60643175,0.9999971284373151
GRB231129779,GRB231129C,4,5,30601.616099999977,n3+n6+n7,0.4753727177259465,14547.17341226307,2.617007173905861,2.2086418835587023,0.9312664868474718,4.051173889321435,1.014854917995223,14533.030527862898,2.617084731594963,2.207294047165233,0.9319139341477923,4.051312077351121,1.0152626177033943,57086607.53420375,57086443.60643175,0.9999971284373151
GRB231129779,GRB231129C,5,5,30601.616099999977,n3+n6+n7,0.09889606453119791,3026.3794005845425,4.547381413445272,0.47928501319416655,2.202360722562258,5.574785174374521,1.4666254014818183,3024.228896815785,4.547586024652875,0.47864054921674787,2.202917602944836,5.574428608183943,1.466568928466344,57086607.53420375,57086443.60643175,0.9999971284373151
