t,y_data,y_fit,residual
3.96695500968913,3.6885377359359382e-28,3.6885377359359382e-28,0.0
3.971454810616958,5.503300856909662e-28,5.503300856909662e-28,0.0
3.9759546115447857,8.179939992493886e-28,8.179939992493886e-28,0.0
3.980454412472614,1.2113159260351662e-27,1.2113159260351662e-27,0.0
3.984954213400442,1.787176236603723e-27,1.787176236603723e-27,0.0
3.9894540143282695,2.627252250204534e-27,2.627252250204534e-27,0.0
3.9939538152560976,3.848415900116293e-27,3.848415900116293e-27,0.0
3.9984536161839257,5.617318861178585e-27,5.617318861178585e-27,0.0
4.002953417111754,8.170782272148604e-27,8.170782272148604e-27,0.0
4.007453218039582,1.1844205956494612e-26,1.1844205956494612e-26,0.0
4.01195301896741,1.7111020886981193e-26,1.7111020886981193e-26,0.0
4.016452819895238,2.4637299576112037e-26,2.4637299576112037e-26,0.0
4.020952620823066,3.5357105844349564e-26,3.5357105844349564e-26,0.0
4.025452421750893,5.057613135498838e-26,5.057613135498838e-26,0.0
4.029952222678721,7.211379318828043e-26,7.211379318828043e-26,0.0
4.0344520236065495,1.0249746612954485e-25,1.0249746612954485e-25,0.0
4.038951824534378,1.4522717113531081e-25,1.4522717113531081e-25,0.0
4.043451625462206,2.0513519627080925e-25,2.0513519627080925e-25,0.0
4.047951426390034,2.888732532163797e-25,2.888732532163797e-25,0.0
4.052451227317862,4.0557047221519482e-25,4.0557047221519482e-25,0.0
4.05695102824569,5.677195857719351e-25,5.677195857719351e-25,0.0
4.061450829173518,7.923670423324658e-25,7.923670423324658e-25,0.0
4.065950630101346,1.1027068021458977e-24,1.1027068021458977e-24,0.0
4.070450431029174,1.5302088305790075e-24,1.5302088305790075e-24,0.0
4.074950231957002,2.117453900274455e-24,2.117453900274455e-24,0.0
4.07945003288483,2.9218988890811783e-24,2.9218988890811783e-24,0.0
4.0839498338126585,4.02086467229998e-24,4.02086467229998e-24,0.0
4.088449634740486,5.518126202179063e-24,5.518126202179063e-24,0.0
4.092949435668314,7.552596803916384e-24,7.552596803916384e-24,0.0
